heure;latitude;longitude;magnitude;ville;type
2018-02-07T08:57:02.757000+00:00;48.723;8.886;2.2;Sindelfingen;quarry blast
2018-02-07T08:50:56+00:00;48.891;9.545;2.2;Schorndorf;quarry blast
2018-02-07T07:20:27.060000+00:00;45.445;6.304;1.6;Saint-Jean-de-Maurienne;earthquake
2018-02-07T07:16:29.444000+00:00;45.408;6.378;1.3;Saint-Jean-de-Maurienne;earthquake
2018-02-07T05:39:11.004000+00:00;44.573;148.212;4.7;Asahikawa;None
2018-02-07T04:07:19.147000+00:00;45.45;6.291;1.7;Saint-Jean-de-Maurienne;earthquake
2018-02-07T03:49:57.085000+00:00;44.913;6.593;1.3;Briançon;earthquake
2018-02-07T03:36:21.007000+00:00;24.252;121.689;4.9;Taipei;None
2018-02-07T02:28:04.027000+00:00;42.162;3.433;2.7;Figueres;earthquake
2018-02-07T02:18:05.275000+00:00;24.217;121.881;4.8;Taipei;None
2018-02-06T23:43:55.999000+00:00;24.277;121.967;4.6;Taipei;None
2018-02-06T23:11:43.536000+00:00;24.148;122.044;4.4;Taipei;None
2018-02-06T21:53:56.788000+00:00;38.028;73.039;5.0;Fayzabad;earthquake
2018-02-06T21:06:41.641000+00:00;47.783;7.693;1.0;Müllheim;earthquake
2018-02-06T20:56:26.775000+00:00;24.268;121.53;4.8;Taipei;None
2018-02-06T19:15:32.651000+00:00;24.171;121.749;5.3;Taipei;None
2018-02-06T18:07:44.162000+00:00;24.291;121.842;5.2;Taipei;None
2018-02-06T18:00:18.017000+00:00;24.467;121.748;5.0;Taipei;None
2018-02-06T16:18:03.625000+00:00;24.263;121.637;5.0;Taipei;None
2018-02-06T15:50:43.086000+00:00;24.144;121.548;6.1;Taipei;None
